sBB,Gurobi,Logarithmic,DisaggLogarithmic,ZigZag,ZigZagInteger
388.8824563026428,1800,1803.5173647,1812.9795023,1808.782541,1807.5752589
7.828356981277466,1800,131.5279338,177.1952958,1280.6995235,861.9017274
1106.8206894397736,1800,1806.8053148,1814.8942829,1810.2499107,1807.8798399
48.389299154281616,1800,689.1783511,911.6697568,1809.0546764,1808.7174663
9.249746799468994,1800,216.4898404,266.2469599,932.9079925,894.4802851
0.4531126022338867,1800,95.2104619,209.4903054,778.5352013,1151.5783416
1.718702793121338,1800,182.6692686,229.9068213,494.1357584,657.9968771
47.172775983810425,1800,1148.7149143,1812.6675764,1809.3865871,1807.9842702
1800.0203220844269,1800,1806.6125679,1818.540983,1809.6686422,1807.6228993
1.859325647354126,1800,125.4755073,278.9822265,583.8234779,596.1245964
3.6409661769866943,1800,132.4962766,181.7461544,957.3366792,1647.9415356
1.2812156677246094,1800,180.3448435,222.9729035,628.1086447,806.559847
9.828308582305908,1800,198.8461821,253.4462068,1809.4563116,1808.0960424
0.6249830722808838,1800,81.5380714,112.4398488,448.7386194,397.6178036
1.1718437671661377,1800,117.9072389,170.9197591,775.9539041,570.6767913
1.218717098236084,1800,82.6121659,142.5839115,747.065918,1241.8234749
1.5155844688415527,1800,84.6360606,120.4429488,459.1689963,233.8869914
1800.0168087482452,1800,1807.0699364,1812.0562646,1811.2394516,1807.8218169
1.249967098236084,1800,134.9572881,451.4884185,716.4668534,688.5076529
5.031118154525757,1800,172.5643109,295.1588716,760.2303,1807.6356092
1800.0001273155212,1800,1806.2970786,1813.9978436,1809.9695159,1808.1644744
54.26466870307922,1800,445.2048351,517.4170972,1808.3304937,1314.1987351
1.9686996936798096,1800,177.7777005,256.1915639,806.461089,929.6662091
145.67121624946594,1800,1350.2188885,1812.4330935,1809.3476337,1808.0446667
0.906226396560669,1800,186.5973073,273.0981837,615.4209876,968.7868657
728.281281709671,1800,1807.0268529,1805.2739033,1809.5544495,1807.6351084
0.5937347412109375,1800,124.1946267,186.464136,558.8221707,318.1355974
16.062540292739868,1800,377.9777437,648.060343,1355.2648147,1493.8944664
1149.8932983875277,1800,1807.1711382,1812.3076778,1809.3699553,1808.1393517
4.484261751174927,1800,367.2564253,566.4770436,1680.4536994,1808.4138929
1800.0046331882477,1800,1806.827452,1814.2612784,1808.2776913,1807.7073068
38.78059768676758,1800,857.6074888,1006.1874606,1808.7992332,1808.1747566
0.9176912307739258,1800,133.8971021,134.0965707,777.7983865,367.3789716
152.3708534240723,1800,618.6713031,1305.4189738,1808.2748208,1807.6743307
1.6106061935424805,1800,139.8105125,183.0166497,216.76601,162.6955031
1800.0164194107056,1800,1806.5886057,1813.7817928,1808.9303125,1807.558678
9.694560766220093,1800,94.5561591,235.2925475,1808.6668342,864.3536164
4.028679847717285,1800,213.7849735,277.255551,685.1574124,1368.3454186
0.4307799339294433,1800,99.2234955,242.2979276,327.2936737,184.5997427
2.124950647354126,1800,165.131056,349.6569814,873.7787623,1807.5519651
233.60914182662964,1800,1806.6246784,1814.268609,1809.1234877,1807.9078146
9.689359188079834,1800,638.3368353,1391.2569768,1808.9404351,1808.7610838
1689.19238615036,1800,1806.7092101,1812.9168182,1808.4505636,1807.6093184
13.354371309280396,1800,417.0028249,490.58161,1808.8386537,1359.1878688
2.077365636825561,1800,150.6708443,216.1850654,848.6891659,604.6628159
7.937040090560913,1800,145.9765463,229.050127,519.6535766,226.7009166
20.966684818267822,1800,593.3450843,693.398062,1809.2339816,1808.3340903
20.65888929367065,1800,382.4848203,489.5517307,1809.4007128,1807.8403885
72.45125555992126,1800,1807.5135977,1812.7983159,1808.8616115,1808.491095
2.183419942855835,1800,191.4014653,211.3403447,1192.1714068,1106.0317345
