sBB,Gurobi,Logarithmic,DisaggLogarithmic,ZigZag,ZigZagInteger
13.771447896957397,1800.4198474884033,854.8998622,1122.898214,1781.2186972,725.3359294
2.9233431816101074,1800.4894075393677,666.0549668,509.4603738,801.6719775,704.0507015
17.067590951919556,1800.50718832016,945.7077462,940.1742937,1493.3673993,1121.1966134
4.642109632492065,1800.676566362381,717.7255824,925.8958134,1344.7603345,1005.6067865
43.941977977752686,1800.5354535579681,1219.9390154,1626.7352133,1809.7984673,1100.7525458
3.2343320846557617,1800.4168059825897,318.1163903,390.5100552,833.2155253,724.6522032
8.438577890396118,1800.4282994270325,630.2700967,737.2368222,1793.4904551,1228.9345099
1.2343592643737793,1800.4194071292877,375.3800811,499.5770637,865.2073691,750.5219141
13.114691972732544,1800.4376997947693,823.3579082,553.7854333,1557.0839889,1122.1929204
13.34400200843811,1800.4666440486908,1069.4991809,1087.9246225,1808.8321747,1347.2884916
2.8284833431243896,1800.497465133667,596.8989655,399.4147087,1150.1738945,677.1298531
17.158413648605347,1800.4880604743958,1003.4428367,1473.092901,1386.1695943,1088.1702649
1.2343521118164062,1800.9650559425354,325.2693561,396.8677913,274.4285649,198.5264714
12.005023002624512,1800.7603495121002,761.2087171,1142.3387052,1486.5144019,1141.1008513
15.563191413879395,1800.46408867836,1374.7649966,1121.7382103,1808.2789595,1404.5937034
1.6097447872161865,1800.5422196388245,450.7358163,520.4315976,922.3499183,448.2816699
5.752891302108765,1800.5583231449127,686.0057445,1061.6612875,1184.6676111,653.6511195
1.8124408721923828,1800.4816508293152,232.0164916,361.8232626,826.6035676,580.4929378
1.5624570846557617,1801.0711970329285,558.8450219,704.5222886,1072.565842,676.7227901
8.29785418510437,1800.4711651802063,616.7199575,976.4656175,1170.3074806,975.876407
12.265769720077515,1800.6625702381134,1038.8773927,1341.7456426,1808.6228218,1031.5861414
12.906023263931274,1800.4428613185883,616.3625619,1174.2658722,1745.7731128,1039.7808615
5.0651397705078125,1800.4921033382416,728.9987218,1012.6320525,1320.3539901,855.6319202
12.878394603729248,1800.5405418872833,836.1778932,1106.388203,1766.9443186,905.6359345
4.68862247467041,1800.7555003166199,705.3645591,627.3210597,1404.2999314,984.1264383
12.313243865966797,1800.375254392624,866.410917,1186.3511211,1519.9405587,1132.2693602
2.0624749660491943,1800.643863916397,640.9467733,623.4767583,988.160671,499.1991263
11.656129121780396,1800.444180727005,799.3213652,932.6078538,1808.5460212,961.5221709
2.0468430519104004,1800.4895889759064,587.9174299,330.5291164,662.7021658,583.5101707
29.616478443145752,1800.4140470027924,998.5810673,1381.3133928,1792.9894807,1381.8913507
20.552931547164917,1800.4673104286194,1057.0449951,1216.0645477,1608.8257102,1031.2493822
4.221538066864014,1800.4384033679962,632.5946354,911.1552577,684.8130302,518.0745114
15.530393600463867,1800.4823048114777,981.8817659,1165.8161098,1808.5582674,1105.7238627
6.236412048339844,1800.6479558944702,670.7385214,1117.2292126,1599.6594187,1019.0817243
5.952892303466797,1800.460054397583,682.1188333,373.5031034,1116.9077747,955.3730077
14.468711376190186,1800.386719942093,950.0828295,1068.3288357,1713.4498218,1244.7894313
97.95701432228088,1800.4451224803925,1730.1237236,1813.3632109,1809.1195741,1807.5917602
8.10958981513977,1800.4462461471558,805.6584151,659.6294468,1718.7228908,1062.3840856
3.6405398845672607,1800.7072622776031,606.9996633,389.231821,1348.6101517,599.948972
2.0945839881896973,1800.4846680164337,385.9423702,594.7674741,1051.6664487,748.4829743
1.4535388946533203,1800.4356455802917,372.7676693,494.7440859,922.8128547,685.5554071
18.81500244140625,1800.4997293949127,866.1533082,1051.8409572,1808.3166401,1133.893102
22.533033847808838,1800.5646884441376,1126.5070099,1131.3684875,1768.1915081,1065.6555225
3.8280675411224365,1800.8701429367065,268.7690304,361.3091216,821.663252,641.2228511
2.234349489212036,1800.446845293045,461.5829851,425.570316,863.3539561,627.6335358
27.987754344940186,1800.696420431137,885.8443169,1057.9136921,1808.1694287,1294.6983455
7.281176805496216,1800.460525751114,1116.783961,498.1391223,1322.1588545,1095.1989914
6.7503981590271,1800.4244000911713,825.5912361,1137.648848,1418.6496009,675.1806462
10.407402753829956,1801.0087666511536,915.6537284,1196.0998818,1671.4923399,905.0225791
